,,,,,,,,,,,,,,,,,,,,,
1,f_1,1. General identification information about the survey,,,,,,,,,,,,,,,,,,,
2,f_1_0,1.0. Country,HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia)
144,f_6a1,6a1. SG1 Name of sub-group,Serbian ethnic minority,-999.Not applicable,-999.Not applicable,Serbian residents,Serbian residents,Residents of conflict (multi-ethnic) areas,Adult population of selected areas,"Schools with classes in national minority language (Serbian, Vukovar-Srijem County)",-999.Not applicable,Roma (Bayash) from Baranja,First generation immigrants from neighbouring countries (the Republika Srpska (BA)) and other continental parts of Croatia,Students attending elementary od high school in Serbian language,Students attending elementary od high school in Serbian language,Students attending elementary od high school in Serbian language,Serbian residents (members of ethnic minority),Serbian residents (members of ethnic minority),Serbian residents (members of ethnic minority),-999.Not applicable,-999.Not applicable
145,f_6a2,6a2. SG1 Gross/issued sample,-99.Information not available,-999.Not applicable,-999.Not applicable,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-999.Not applicable,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-999.Not applicable,-999.Not applicable
146,f_6a3,6a3. SG1 Net/achieved sample,550,-999.Not applicable,-999.Not applicable,156,136,387,162,3,-999.Not applicable,266,52,373,323,306,202,202,89,-999.Not applicable,-999.Not applicable
147,f_6a4,6a4. SG1 Response rate,-99.Information not available,-999.Not applicable,-999.Not applicable,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-999.Not applicable,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-999.Not applicable,-999.Not applicable
148,f_6a5,6a5. SG1 Overall response rate calculated,-99.Information not available,-999.Not applicable,-999.Not applicable,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-999.Not applicable,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-999.Not applicable,-999.Not applicable
149,f_6a6,"6a6. SG1 If ""other"" in 6a5., describe",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
150,f_6a7,6a7. SG1 Comment on any known issues,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,"82.9% self-identified as Croats, 11.4% as Serbs, 3.6% as members of other national minorities, and 2.1% did not answer.",50 were Romani residents.,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
151,f_6b1,6b1. SG2 Name of sub-group,-999.Not applicable,-999.Not applicable,-999.Not applicable,Immigrants from the Republika Srpska (BA) and Serbia,Immigrants from the Republika Srpska (BA) and Serbia,Residents of peace (multi-ethnic) areas,Pupil population of selected areas,Schools with classes in Croatian (Vukovar-Srijem County),-999.Not applicable,Roma (Bayash) from Međimurje,Second generation immigrants: adolescents whose parents immigrated and permanently settled in the place of residence,Parents of Serbian ethnic affiliation,Parents of Serbian ethnic affiliation,Parents of Serbian ethnic affiliation,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
152,f_6b2,6b2. SG2 Gross/issued sample,-999.Not applicable,-999.Not applicable,-999.Not applicable,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-999.Not applicable,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
153,f_6b3,6b3. SG2 Net/achieved sample,-999.Not applicable,-999.Not applicable,-999.Not applicable,136,140,422,233,2,-999.Not applicable,164,248,470,420,418,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
154,f_6b4,6b4. SG2 Response rate,-999.Not applicable,-999.Not applicable,-999.Not applicable,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-999.Not applicable,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
155,f_6b5,6b5. SG2 Overall response rate calculated,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
156,f_6b6,"6b6. SG2 If ""other"" in 6b5., describe",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
157,f_6b7,6b7. SG2 Comment on any known issues,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,"69.9% self-identified as Croats, 16.8% as Serbs, 12.4% as members of other national minorities, and 0.9% did not answer.",77 were Romani pupils.,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
158,f_6c1,6c1. SG3 Name of sub-group,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,"Schools with classes in national minority language, Italian (Istria County)",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
159,f_6c2,6c2. SG3 Gross/issued sample,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-99.Information not available,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
160,f_6c3,6c3. SG3 Net/achieved sample,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,3,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
161,f_6c4,6c4. SG3 Response rate,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-99.Information not available,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
162,f_6c5,6c5. SG3 Overall response rate calculated,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
163,f_6c6,"6c6. SG3 If ""other"" in 6c5., describe",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
164,f_6c7,6c7. SG3 Comment on any known issues,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
165,f_6d1,6d1. SG4 Name of sub-group,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,Schools with classes in Croatian (Istria County),-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
166,f_6d2,6d2. SG4 Gross/issued sample,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-99.Information not available,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
167,f_6d3,6d3. SG4 Net/achieved sample,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,2,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
168,f_6d4,6d4. SG4 Response rate,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-99.Information not available,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
169,f_6d5,6d5. SG4 Overall response rate calculated,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
170,f_6d6,"6d6. SG4 If ""other"" in 6d5., describe",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
171,f_6d7,6d7. SG4 Comment on any known issues,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
172,f_6e1,6e1. SG5 Name of sub-group,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,Schools with classes in Croatian (Zagrebačka County),-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
173,f_6e2,6e2. SG5 Gross/issued sample,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-99.Information not available,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
174,f_6e3,6e3. SG5 Net/achieved sample,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,5,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
175,f_6e4,6e4. SG5 Response rate,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-99.Information not available,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
176,f_6e5,6e5. SG5 Overall response rate calculated,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
177,f_6e6,"6e6. SG5 If ""other"" in 6e5., describe",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
178,f_6e7,6e7. SG5 Comment on any known issues,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
179,f_6_8,6.8. Additional comments  to section 6,-999.Not applicable,Survey was not partitioned into any subgroups.,Survey was not partitioned in any subgroups.,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,Survey was not partitioned in any subgroups.,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,The number of parents is an approximate calculation based on the percentage provided in the research report (44% students from Serbian schools).,-999.Not applicable,-999.Not applicable,-999.Not applicable,Survey was not partitioned in any subgroups.,Survey was not partitioned in any subgroups.
180,f_7,7. Data collection information,,,,,,,,,,,,,,,,,,,
181,f_7_1,7.1. Name of person/institution/institute  that undertook fieldwork,"Institute for Migration and Ethnic Studies, Zagreb","Institute for Migration and Ethnic Studies, Zagreb",Union of Autonomous Trade Unions Croatia,Author of the study: Dragutin Babić,Author of the study: Dragutin Babić,Author of the study: Marko Mrakovičić,Authors of the study: Hrvoje Šlezak; Laura Šakaja,Authors of the study: Asja Korbar; Maria Golubeva,Author of the study: Ljubica Kordić,Institute for Anthropological Research in Zagreb in cooperation with the Office for National Minorities of the Government of the Republic of Croatia and the Croatian National Institute of Public Health,Institute for Anthropological Research in Zagreb,"Authors of the study: Dinka Čorkalo Biruški; Dean Ajduković; University of Zagreb, Department of Psychology, Faculty of Humanities and Social Sciences","Authors of the study: Dinka Čorkalo Biruški; Dean Ajduković; University of Zagreb, Department of Psychology, Faculty of Humanities and Social Sciences","Authors of the study: Dinka Čorkalo Biruški; Dean Ajduković; University of Zagreb, Department of Psychology, Faculty of Humanities and Social Sciences","Authors of the study: Dean Ajduković; Dinka Čorkalo; University of Zagreb, Department of Psychology, Faculty of Humanities and Social Sciences","Authors of the study: Dean Ajduković; Dinka Čorkalo; University of Zagreb, Department of Psychology, Faculty of Humanities and Social Sciences","Authors of the study: Ankica Kosić; Stefano Livi; Sapienza University, Rome, Italy",United Nations Development Programme (UNDP) in the Republic of Croatia,Serbian Democratic Forum
182,sh_7_2,7.2. Data collection mode [Choose yes/no for each topic below],,,,,,,,,,,,,,,,,,,
183,f_7_2_1,7.2.1. Face to face (PAPI) ,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,0.No,0.No,0.No,1.Yes,1.Yes,0.No,0.No,0.No,1.Yes,1.Yes,0.No,0.No,-9.Don't know
184,f_7_2_2,7.2.2. Face to face (CAPI),0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,-9.Don't know
185,f_7_2_3,7.2.3. Telephone,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,-9.Don't know
186,f_7_2_4,7.2.4. Web/email survey,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,-9.Don't know
187,f_7_2_5,7.2.5. Paper self-administered (collected),0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,1.Yes,0.No,0.No,1.Yes,1.Yes,1.Yes,0.No,0.No,1.Yes,0.No,-9.Don't know
188,f_7_2_6,7.2.6. Paper self-administered (postal),0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,-9.Don't know
189,f_7_2_7,7.2.7. Other,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,-9.Don't know
190,f_7_2_8,7.2.8. Information not available,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,0.No,-9.Don't know
191,sh_7_2b,7.2b. For personal interviews:,,,,,,,,,,,,,,,,,,,
192,f_7_3,7.3. Who interviewed,4.A mix,4.A mix,4.A mix,4.A mix,4.A mix,3.Non-professional interviewers (e.g. students),-999.Not applicable,-999.Not applicable,-999.Not applicable,4.A mix,-99.Information not available,-999.Not applicable,-999.Not applicable,-999.Not applicable,1.Professional interviewers only,1.Professional interviewers only,-999.Not applicable,-99.Information not available,-999.Not applicable
193,f_7_4,7.4. Interviewers spoke migrant languages,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,-999.Not applicable,-999.Not applicable,-999.Not applicable,1.Yes,-999.Not applicable,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,1.Yes,-999.Not applicable,-999.Not applicable
194,f_7_5,"7.5. If ""yes"", which",Croatian (Serbian),Croatian,Croatian (Bosnian),Croatian (Serbian),Croatian (Serbian),Croatian (Serbian),-999.Not applicable,-999.Not applicable,-999.Not applicable,Romani (Bayash),-999.Not applicable,Croatian (Serbian),Croatian (Serbian),Croatian (Serbian),Croatian (Serbian),Croatian (Serbian),Croatian (Serbian),-999.Not applicable,-999.Not applicable
195,f_7_5a,7.5a. Migrant languages in ISO code,HRV,HRV,HRV,HRV,HRV,HRV,-999.Not applicable,-999.Not applicable,-999.Not applicable,ROM,-999.Not applicable,HRV,HRV,HRV,HRV,HRV,HRV,-999.Not applicable,-999.Not applicable
196,f_7_6,7.6. Questionnaire in migrant language,0.No,0.No,0.No,0.No,0.No,0.No,0.No,1.Yes,0.No,-99.Information not available,0.No,1.Yes,1.Yes,-9.Don't know,-9.Don't know,-9.Don't know,1.Yes,-99.Information not available,-99.Information not available
197,f_7_7,"7.7. If ""yes"", which",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,Italian,-999.Not applicable,-999.Not applicable,-999.Not applicable,Serbian,Serbian,-999.Not applicable,-999.Not applicable,-999.Not applicable,Serbian,-999.Not applicable,-999.Not applicable
198,f_7_7a,7.7a. Questionnaire in migrant language in ISO code,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,ITA,-999.Not applicable,-999.Not applicable,-999.Not applicable,SRP,SRP,-999.Not applicable,-999.Not applicable,-999.Not applicable,SRP,-999.Not applicable,-999.Not applicable
199,f_7_8,7.8. Average duration/length of interview (minutes),60,45,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-9.Don't know,-9.Don't know,-99.Information not available,-99.Information not available,45,45,45,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available
200,f_7_9,7.9. Number of questions,56,69,-99.Information not available,48,48,-99.Information not available,-99.Information not available,-99.Information not available,43,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available,-99.Information not available
201,f_7_10,7.10. Additional comments to section 7,The questionnaire had 56 questions (511 items).,The questionnaire had 69 questions (302 items).,"There were a few cases where the translators were present (presumably for respondents from Romania, Moldavia etc.). The majority of the respondents were persons from Bosnia and Herzegovina who generally share the same language. The authors do not provide information on the number of survey questions and instead denote the number of survey items (120 items).",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,"The study also included blood testing, anthropometry, blood-pressure measuring, ultrasonic densitometry of heel bones and internist examination.",Anthropometric measurements of height and weight were taken for all participants and were used to calculate body mass index (BMI).,"The student questionnaires were administered in groups, during regular classes. Parent questionnaires were sent home through their children. The parents completed the questionnaires, sealed them into an envelope that was provided and returned them to the school in the same way, where the research team collected them. The authors do not provide information on the number of survey questions and instead denote the number of survey items (44 items). ","The student questionnaires were administered in groups, during regular classes. Parent questionnaires were sent home through their children. The parents completed the questionnaires, sealed them into an envelope that was provided and returned them to the school in the same way, where the research team collected them. The authors do not provide information on the number of survey questions and instead denote the number of survey items (44 items). ","The student questionnaires were administered in groups, during regular classes. Parent questionnaires were sent home through their children. The parents completed the questionnaires, sealed them into an envelope that was provided and returned them to the school in the same way, where the research team collected them. The authors do not provide information on the number of survey questions and instead denote the number of survey items (44 items). ",The authors do not provide information on the number of survey questions and instead denote the number of survey items (68 items).,The authors do not provide information on the number of survey questions and instead denote the number of survey items (68 items).,The authors do not provide information on the number of survey questions and instead denote the number of survey items (roughly 25-30 items).,"The authors state that, ""interviewers who conducted the research are known to the inhabitants of Kuršanec so the credibility of collected data is at high level, as opposed to other sources which often provide questionable results."" One of the authors was the project team member.",-999.Not applicable
202,f_8,8. Availability,,,,,,,,,,,,,,,,,,,
203,f_8_1,8.1. Availability of the survey dataset,2.Available through a COST Action member,2.Available through a COST Action member,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability
204,f_8_2,"8.2. If available, where is the dataset stored",Contact margareta.gregurovic@imin.hr,Contact margareta.gregurovic@imin.hr,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
205,f_8_3,8.3. ID number of archive where dataset is stored,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
206,f_8_4,8.4. DOI for the dataset,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
207,f_8_5,8.5. Access to complete dataset,5.No,5.No,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know
208,f_8_6,8.6. Access to portions of dataset,0.No,0.No,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know
209,f_8_7,8.7. Access to aggregate data results,1.Yes,1.Yes,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know
,,,,,,,,,,,,,,,,,,,,,
210,f_8_8,"8.8. Restrictions for data access, describe which",Data could be made available upon request from researchers.,Data could be made available upon request from researchers.,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
,,,,,,,,,,,,,,,,,,,,,
211,f_8_9,8.9. Dataset language(s) available ,English,Croatian,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know
212,f_8_9a,8.9a. Dataset language(s) in ISO code,ENG,HRV,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
,,,,,,,,,,,,,,,,,,,,,
213,f_8_10,8.10. Availability of survey doc. & questionnaire ,2.Available through a COST Action member,2.Available through a COST Action member,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability,5.Unknown availability
,,,,,,,,,,,,,,,,,,,,,
214,f_8_11,"8.11. If available, where is the survey doc. stored",Data could be made available upon request from researchers; contact margareta.gregurovic@imin.hr,Data could be made available upon request from researchers; contact margareta.gregurovic@imin.hr,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
,,,,,,,,,,,,,,,,,,,,,
